time flux flux_err
1538.0562425867 1.0002805388 0.0008167179
1538.0770761178 1.0000315297 0.0008167312
1538.0979096480 0.9986059834 0.0008167132
1538.1187431776 1.0010070927 0.0008167240
1538.1395767063 1.0002150867 0.0008167154
1538.1604102343 0.9997096767 0.0008167279
1538.1812437615 0.9998912723 0.0008167127
1538.2020772879 0.9998158560 0.0008167171
1538.2229108136 0.9988744230 0.0008167081
1538.2437443385 0.9998375388 0.0008167190
1538.2645778625 0.9995866421 0.0008167221
1538.2854113859 1.0001008922 0.0008167268
1538.3062449084 0.9997777856 0.0008167190
1538.3270784302 0.9987874992 0.0008167225
1538.3479119511 1.0000765044 0.0008167191
1538.3687454713 0.9992600045 0.0008167185
1538.3895789906 1.0018354287 0.0008167188
1538.4104125092 0.9994769375 0.0008167136
1538.4312460270 0.9995789202 0.0008167079
1538.4520795440 1.0001748523 0.0008166954
1538.4729130602 1.0013144650 0.0008166871
1538.4937465757 1.0002367455 0.0008166764
1538.5145800902 0.9999384033 0.0008166831
1538.5354136041 0.9996748320 0.0008166866
1538.5562471171 1.0006411191 0.0008166736
1538.5770806293 0.9994612234 0.0008166612
1538.5979141406 0.9986779475 0.0008166730
1538.6187476512 0.9995787612 0.0008166755
1538.6395811610 1.0010335417 0.0008166667
1538.6604146700 1.0013495876 0.0008166741
1538.6812481781 1.0006709109 0.0008166908
1538.7020816854 0.9993734674 0.0008167057
1538.7229151919 1.0000876942 0.0008167218
1538.7437486976 1.0017649640 0.0008167209
1538.7645822024 1.0000108276 0.0008167042
1538.7854157065 0.9997460688 0.0008167103
1538.8062492097 0.9990663858 0.0008167360
1538.8270827121 1.0016413922 0.0008167414
1538.8479162136 1.0004757509 0.0008167574
1538.8687497143 1.0014229010 0.0008167684
1538.8895832142 0.9992381406 0.0008167802
1538.9104167133 1.0010486531 0.0008167522
1538.9312502114 1.0004648936 0.0008167715
1538.9520837088 0.9999251058 0.0008167762
1538.9729172053 1.0001976036 0.0008167742
1538.9937507010 0.9997695415 0.0008167589
1539.0354176897 1.0002266253 0.0008167549
1539.0562511828 1.0000781602 0.0008167441
1539.0770846751 1.0009115037 0.0008167565
1539.0979181665 0.9999822763 0.0008167562
1539.1395851467 0.9999862815 0.0008167774
1539.1604186355 1.0007510558 0.0008167734
1539.2229190966 1.0010794614 0.0008167501
1539.2437525819 0.9995459723 0.0008167370
1539.2645860663 1.0013320448 0.0008167180
1539.2854195499 1.0006751456 0.0008167179
1539.3062530325 0.9998154293 0.0008167125
1539.3270865143 0.9978161076 0.0008166932
1539.3479199951 0.9963898592 0.0008166842
1539.3687534751 0.9968369241 0.0008166482
1539.3895869541 0.9950433854 0.0008166458
1539.4104204323 0.9964993727 0.0008166241
1539.4312539096 0.9936467993 0.0008166071
1539.4520873860 0.9955385149 0.0008166152
1539.4729208614 0.9967834581 0.0008166452
1539.4937543359 0.9953939590 0.0008166667
1539.5145878095 0.9960074133 0.0008166655
1539.5354212822 0.9966914864 0.0008166703
1539.5562547540 0.9961521330 0.0008166673
